ngram,freq1,freq2,LR,LL,Len_Corpus1,Len_Corpus2
temperature,989,51,3.1330969463396423,455.2732871312576,6752856,3083437
probes,105,5,3.130709146545237,49.904523514297175,6752856,3083437
verified,430,22,3.1270579075425182,198.59146600837977,6752856,3083437
heliocentric,637,33,3.1192339177637964,292.67260522129305,6752856,3083437
numerical,256,13,3.116969089918934,118.59575098116777,6752856,3083437
mathematical,671,35,3.110538046398109,307.4123766988397,6752856,3083437
photographer,141,7,3.1068092236987126,65.92264937173573,6752856,3083437
descend,140,7,3.0965773010877564,65.26766436506124,6752856,3083437
joule,121,6,3.0934143619400376,56.59875344278606,6752856,3083437
inertia,158,8,3.0899177653644165,73.2835237803007,6752856,3083437
centripetal,158,8,3.0899177653644165,73.2835237803007,6752856,3083437
lined,102,5,3.0890900573434976,47.93093347509475,6752856,3083437
accuracy,940,50,3.088114227246749,427.09724705136614,6752856,3083437
sailing,232,12,3.0862722926960178,106.66323386257949,6752856,3083437
airlines,341,18,3.0753299791364896,155.44231209034854,6752856,3083437
eye,3005,163,3.0692840556988847,1353.8704679141745,6752856,3083437
southern,2026,110,3.0659134771307577,912.4173826534463,6752856,3083437
anomaly,137,7,3.065438789278852,63.30682963082503,6752856,3083437
deceive,117,6,3.0451188048992566,53.9834036024538,6752856,3083437
density,839,46,3.0432692803043473,376.235834485085,6752856,3083437
observe,1425,79,3.033410945128946,635.895919743675,6752856,3083437
nozzle,116,6,3.032788002988537,53.331616931289744,6752856,3083437
fers,116,6,3.032788002988537,53.331616931289744,6752856,3083437
mathematically,259,14,3.0306513097056578,116.86662773067752,6752856,3083437
hills,223,12,3.0293164078839414,100.81856482915995,6752856,3083437
rockets,956,53,3.0291957484203142,426.60556244508894,6752856,3083437
illusion,755,42,3.020938585502476,336.39976246541266,6752856,3083437
explanation,3757,212,3.0132799342540117,1663.3156807082212,6752856,3083437
explanations,910,51,3.0130562562689684,404.1184049147304,6752856,3083437
operators,131,7,3.0010699701591323,59.404607175925214,6752856,3083437
signals,464,26,3.000655908294802,206.0715927897856,6752856,3083437
galaxies,288,16,2.9970749657623776,128.39763242530015,6752856,3083437
locations,878,50,2.98972856973193,387.1013314660466,6752856,3083437
spacex,303,17,2.9853112657860645,134.49176537392646,6752856,3083437
scales,303,17,2.9853112657860645,134.49176537392646,6752856,3083437
verifiable,216,12,2.983408601427349,96.29822431897517,6752856,3083437
tangent,181,10,2.980549891692339,80.89290394260377,6752856,3083437
planes,784,45,2.97687657324475,344.41680248492094,6752856,3083437
sea,2207,128,2.971614749817299,964.9250992111126,6752856,3083437
cylinder,128,7,2.9677755300607083,57.463802670060616,6752856,3083437
ice,2489,145,2.9658065336331143,1085.9728099620675,6752856,3083437
midnight,280,16,2.956504417725688,123.25680496198746,6752856,3083437
feet,2215,130,2.95455219139141,963.0833442729861,6752856,3083437
mapped,160,9,2.9475435501540663,70.93679363494269,6752856,3083437
mountains,683,40,2.945989101196784,297.2662067279674,6752856,3083437
debunk,311,18,2.9426765638704007,136.10232573346832,6752856,3083437
firmament,495,29,2.9391397742999956,215.40628364206736,6752856,3083437
finite,360,21,2.9366322710140733,156.97478825189032,6752856,3083437
beams,259,15,2.9344359944463543,113.31199446190124,6752856,3083437
testable,158,9,2.9294530931711704,69.65258194971057,6752856,3083437
amateur,357,21,2.9245762534390027,155.0596654409808,6752856,3083437
